Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Ice Cream & Desserts,Kellogg's Real Almond & Honey Corn Flakes,5.5,5,3,5.2,1000,FALSE,1,low,3000
Chocolates & Candies,Kellogg's Real Almond & Honey Corn Flakes,5.5,5,3,5.2,1000,FALSE,1,low,3000
Personal Care,L'Oreal Casting Creme Ebony Black Hair Color,5.5,0,6,5.5,159,FALSE,87,low,954
Paan Corner,L'Oreal Casting Creme Ebony Black Hair Color,5.5,0,6,5.5,159,FALSE,87,low,954
Personal Care,L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400),5.5,0,4,5.5,159,FALSE,159,low,636
Paan Corner,L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400),5.5,0,4,5.5,159,FALSE,159,low,636
Personal Care,"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",5.5,0,4,5.5,160,FALSE,159,low,640
Paan Corner,"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",5.5,0,4,5.5,160,FALSE,159,low,640
Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",5.5,0,3,5.5,159,FALSE,172,low,477
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",5.5,0,3,5.5,159,FALSE,172,low,477
Personal Care,L'Oreal Paris Shine Masque Royal Jelly Hair Colour,5.5,0,3,5.5,88,FALSE,87,low,264
Paan Corner,L'Oreal Paris Shine Masque Royal Jelly Hair Colour,5.5,0,3,5.5,88,FALSE,87,low,264
Cooking Essentials,Delight Nuts Dried Blueberries ,5.4,20,6,4.32,150,FALSE,150,low,900
Munchies,Delight Nuts Dried Blueberries ,5.4,20,6,4.32,150,FALSE,150,low,900
Home & Cleaning,Surf Excel Matic Front Load Detergent Powder,5.3,4,6,5.07,2000,FALSE,2,medium,12000
Cooking Essentials,Amul Ghee (Tin),5.2,2,6,5.09,1000,FALSE,1,low,6000
Munchies,Amul Ghee (Tin),5.2,2,6,5.09,1000,FALSE,1,low,6000
"Meats, Fish & Eggs",Fresh Mutton Mince - Kheema (Halal),5.15,3,1,4.95,500,FALSE,500,low,500
Cooking Essentials,Amul Pure Ghee (Pouch),5.05,1,2,4.99,1000,FALSE,1,low,2000
Munchies,Amul Pure Ghee (Pouch),5.05,1,2,4.99,1000,FALSE,1,low,2000
Home & Cleaning,Ariel Matic Top Load Detergent Washing Powder,4.99,0,1,4.99,2000,FALSE,2,medium,2000
Packaged Food,Bagrrys Fruit and Nut Muesli with Cranberries,4.99,0,5,4.99,750,FALSE,750,low,3750
Ice Cream & Desserts,Bagrrys Fruit and Nut Muesli with Cranberries,4.99,0,5,4.99,750,FALSE,750,low,3750
Chocolates & Candies,Bagrrys Fruit and Nut Muesli with Cranberries,4.99,0,5,4.99,750,FALSE,750,low,3750
Personal Care,Clinic Plus Strong & Long Health Shampoo,4.99,10,3,4.49,650,FALSE,650,low,1950
Paan Corner,Clinic Plus Strong & Long Health Shampoo,4.99,10,3,4.49,650,FALSE,650,low,1950
Personal Care,Gillette Mach 3 Mens Razor Blades,4.99,7,4,4.6,232,FALSE,4,low,928
Paan Corner,Gillette Mach 3 Mens Razor Blades,4.99,7,4,4.6,232,FALSE,4,low,928
Packaged Food,Kellogg’s Chocos Protein And Fibre Of 1 Roti,4.99,11,6,4.44,1200,FALSE,1,medium,7200
Ice Cream & Desserts,Kellogg’s Chocos Protein And Fibre Of 1 Roti,4.99,11,6,4.44,1200,FALSE,1,medium,7200
Chocolates & Candies,Kellogg’s Chocos Protein And Fibre Of 1 Roti,4.99,11,6,4.44,1200,FALSE,1,medium,7200
Health & Hygiene,Organic India Organic Chyawanprash,4.95,20,6,3.96,500,FALSE,500,low,3000
Personal Care,Himalaya Anti Hair Fall Shampoo,4.9,25,4,3.67,700,FALSE,700,low,2800
Paan Corner,Himalaya Anti Hair Fall Shampoo,4.9,25,4,3.67,700,FALSE,700,low,2800
Cooking Essentials,RRO Primio Refined Groundnut (Jar),4.9,11,6,4.36,2000,FALSE,2,medium,12000
Munchies,RRO Primio Refined Groundnut (Jar),4.9,11,6,4.36,2000,FALSE,2,medium,12000
Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),4.85,7,6,4.49,2000,FALSE,2,medium,12000
